texto,labels
"	Televisão, internet, rádio. Essas palavras designam os meios de comunicação mais utilizados pela sociedade contemporânea e os que mais a influenciam, aprisionando-a e não permitindo que ela tenha um bom convívio social. Pode-se afirmar que, com o mundo globalizado, a internet, principalmente, tornou-se alvo de polêmicas diante da dupla possibilidade que tem de informar e ao mesmo tempo manipular. Mas, será que existem soluções para os problemas causados pela influência da mídia?	Deve-se lembrar de que tanto a internet como a televisão possibilitam uma expansão de conhecimento, uma vez que apresentam uma diversificação de informações sobre cultura, sociedade e meio ambiente, por exemplo, além de permitirem a interação em tempo real. Contudo[vírgula] existem pessoas que a usam de formas negativas, praticando pedofilia e bullying com outras pessoas, por exemplo. Isso pôde ser visto pela quantidade de pedófilos atualmente; a humilhação, falta de respeito e a discriminação que são os principais aspectos da prática do bullying. Há que se considerar também que o vício provocado pelo grande período de tempo destinado à utilização desses meios de comunicação gera consequências relacionadas à violência anteriormente citadas, estimulando outras pessoas a praticarem-na, trazendo danos psicológicos sérios para quem sofreu a agressão propiciada pelo meio informacional.	Para que o comportamento humano não fique restrito ao uso desses meios, o usuário dos meios de comunicação deve praticar atividades, como esporte ou destinar um tempo ao lazer, que permita a comunicação com outras pessoas. Deve também estipular limites de tempo para a utilização dos equipamentos.	Então, para que o ser humano viva em uma sociedade comunicativa e globalizada, imprescindível à contemporaneidade, deve haver uma relação harmônica entre os meios de comunicação e a vida real.",2
"	O Brasil, assim como muitos países no mundo, estão buscando adequar sua legislação ao crescimento de um novo ramo da sociedade: os homossexuais. Em nosso país, o reconhecimento da união estável entre homossexuais constitui um passo muito importante no que se refere a equiparar os direitos civis de heterossexuais aos desse grupo em desenvolvimento.	A Constituição Federal afirma que, é objetivo da República promover a bem de todos, sem qualquer tipo de preconceito ou descriminação. E é baseado nesse pressuposto que se tornou urgente a mudança no código civil brasileiro, que antes restringia o direito de constituir uma união estável a casais heterossexuais e agora passou a validar esse direito a casais do mesmo sexo.	Antes dessa decisão, os homossexuais eram discriminados pela própria Constituição de seu país, não podiam exercer todos seus direitos como cidadãos devido a uma escolha particular sobre sua opção sexual. Uma grave incoerência que, somada aos atos homofóbicos e de intolerância distinguiam esse grupo do restante da sociedade, no tocante de seus direitos civis.	Sendo assim, como forma de manter o princípio democrático entre os cidadãos, os setores sociais responsáveis, como poder legislativo e executivo, devem continuar agindo. Novas propostas, como a conscientização da população e a criminalização da homofobia, devem ser colocadas em prática. Uma vez que, não há espaço para o preconceito em um país que tem como valor constitucional a igualdade entre seus cidadãos.",2
"	Para acabar com o bullying nas escolas é preciso ensinar as crianças e adolescentes a prática de uma cidadania justa e, assim, mostrar que a tolerância é um pilar indispensável para a paz. Além do mais, para isso ser factível, é necessário envolver toda a comunidade escolar.	A sociedade contemporânea está diante de um desafio: conseguir livrar as escolas do bullying, ou seja, de uma violência travestida de “brincadeinhas”, na qual, produz baixa auto- estima, depressão, suicídio e até algumas tragédias. No mês de abril de 2011, um ex-aluno, Wellington Meneses da Silveira, da Escola Municipal Tasso da Silveira, Realengo, no Rio de Janeiro entrou na escola e matou 12 crianças e feriu várias outras. Segundo relatam alguns ex-colegas do autor, ele quando estudava no colégio era alvo das brincadeiras dos outros colegas.	Embora a causa que motivou o massacre de Realengo tenha outros fatores que devem ser considerados, o bullying que o Wellington sofreu na época escolar pode ter forte influencia no caso. Contudo, o mais importante é que a sociedade despertou para a gravidade do problema, buscando alternativas para evitar o sofrimento das vítimas desse mal e, impedir novos acontecimentos funestos. Dessa forma, é difícil chegar a uma solução que não implique em uma mudança do modelo de ensino. Diferentemente do que é realizado até então, a escola deve ter como um dos seus principais objetivos, ensinar práticas de cidadanias que levem os educando a uma vivencia mais equitativa e o respeito aos “diferentes”, visando fazer do ambiente de ensino um local de paz e, por conseguinte, seguro.	Outro fator relevante é a compreensão que a solução do problema não é de atribuição somente dos docentes, pois a saída está em conjugar esforços com os pais, a fim de encontrar as causas e, assim implantar um trabalho preventivo contínuo, aliado também a imposição de limites e de exemplos aos discentes.	Portanto, percebe-se que o fim do bullying é possível, desde que seja tratado com uma questão ampla envolvendo todos os agentes da educação: pais, professores, funcionários das escolas e alunos. Dessa maneira, estará se evitando sofrimentos e contribuindo para fazer do ambiente escolar um local tranqüilo e proveitoso, como é almejado por todos.",2
"Alvo de críticas acidas,a construção do muro nas favelas do Rio de Janeiro vai ganhando ibope e fazendo as pessoas enchergar o outro lado da Cidade Maravilhosa. Esta concentração publicitária em torno desta obra, mostracomo que o ser humano pode tornar algo benéfico em algo totalmente fora dos padrões éticos e morais. A edificação desta parede não serve, em sí, para firmar uma divisória entre uma área e outra e não como foi o caso do polêmico Muro de Berlim, que foi uma realidade e um símbolo da divisão da Alemanha em duas entidades estatais, a ""República Federal da Alemanha e a República Democrática Alemã. Este muro, além de dividir a cidade de Berlim ao meio, simbolizavaa divisão do mundo em duas partes: Berlim Ocidental  e Berlim Oriental , não sendo, portanto, o que está ocorrendo em nossa Cidade de Ipanema, pois tal muro não é para dividir e sim para conter a desumanidade contra áreas ambientais. A construção do muro, além de preservar as áreas ambientais, gera uma expansão das favelas, moradias de condições subhumanas que facilita a expansão do narcotráfico eque portanto,os brasileiros, contribuíntes e cidadãos, não merecem tal lugar para se morar. Pois todos tem direito a uma moradia, mesmo que seja simples, mas que esteja nos padrões de saneamento básico e infraestrutura, sendo este o paço para uma revolução habitacional proposto por políticos que se importam com a vida. Pois afinal, o Rio de Janeiro tem agora, o trabalho de se fazer honrar ao título mundial de ""Cidade Maravilhosa"", destinando o valor devido aos seus moradores, afinal "" o melhor do Brasil é o Brasileiro"". Enfim,a construção deixa um marco na história, pois finalmente o bem comum chegou a ser consenso entre os políticos, que agora estão criando medias para acabar com a desordem ambiental e populacional, não criando um muro de Berlim, mas criando um muro para dividir a falta de compromisso para com o povo, da real política. Pois apartir de agora, tenho certeza que tem alguém que se importa comigo.",4
"A violência que está presente hoje no trânsito foi gerada a partir de uma seqüência de erros cometidos pela sociedade.Atropelamento, acidentes, brigas e outras barbaridades são vistas por nós em diversos noticiários. Quando se encontra um grupo de pessoas que querem fazer a diferença, buscando a paz nas diversas ruas do país, somos surpreendidos com atitudes inesperadas, como é o caso dos 100 ciclistas que faziam um protesto e foram atropelados chegando a ficarem feridos, alguns em estado grave, O motorista diz que foi para sua legítima defesa, mas a sua explicação não faz sentido.Sobreviver no trânsito ultimamente está se tornando difícil cada vez mais. Pois além da grande aglomeração de automóveis, os estresses que causam o dia a dia geram uma falta de paciência, resultando assim estes freqüentes acontecimentos.Mas para acabar com este problema as soluções são mais simples do que parece não esta em formar motoristas perfeitos durantes as aulas na auto-escola, mas sim exercitando a paciência e o auto-controle, que não são ensinados durante a formação de um motorista, entretanto é essencial para a vida.Pode se observar que a solução depende muito mais de um bom preparo psicológico, do que na execução correta dos movimentos que aprendemos para dirigir.",1
" Esse termo aborda questões relacionadas ao meio de um povo que vive à procura de uma solução,onde,estão encontrados no suburbio e as métropoles.Diante dessa situação vem a surgir o preconceito onde muitos tem nada e poucos tem tudo,tonando-lhe um caos e forçando de tal maneira a procura de uma vida melhor.O povo do suburbio se depara com a pobreza eles procuram uma solução rapita e na maioria das vezes sofrida,faz cometer de forma ilicita atos que não sonhava acontecer.O garoto do suburbio que crescer neste sistema de vida,sem saneamento básico,educação,infra-estrutura,onde,não teve uma família para lhe dar instruções,ensinar como um cidadão sobreviver a um estado sem leis e sem ética.O povo carioca sempre teve o samba na ponta do pé entre outros ritmos,mas não podemos esquecer o que existir atras dessa cultura de origem.faz relebrar e ter a consciencia de que todos essescariocas vivem no verdadeiro conflito,no qual,o governo esconde por tras da mídia e tentarser iginorante há guerriar com o povo que estar a procura de uma vida melhor,porque o sistema não possa lhe oferecer.A união de um povo é essencial para combater e reprimir um pais capitalista,onde, o dinheiro fala mais altoe os que não tem nada,tentar sobreviver nas injurias de uma vida medilcre.eudjon rodrigues",5
"	Motivo de polêmica em toda a sociedade [vírgula]  a lei da palmada, criada recentemente, apresenta aspectos positivos e negativos.	Muito debatida principalmente por pais, a lei, se tornou motivo se [de] revolta, isto deve-se ao fato de que as crianças muitas vezes não são capazes de assimilar algo apenas em um diálogo, eles defendem a ideia que a palmada não deve ser interpretada como agressão e sim como correção visto que não deve ser exagerada.	Por outro lado [vírgula] promotores e psicólogos afirmam que a palmada gera revolta e raiva na criança, que além de prejudicar o seu desenvolvimento implicará em traumas jamais esquecidos acarretando em comportamentos violentos e agressões.	Portanto, apesar do assunto ser complexo e polêmico, creio que a visão dos pais é mais completa, pois, as crianças não compreenderão temas educacionais apenas no dialogar. A consciência dos pais deve-ser [deve ser] de que se trata de algo corretivo sem exageros que se forem caracterizados devem ser punidos. O estado deve interferir pela vida do seu povo e punir atos de extrema violência quanto a [à] criança. O diálogo não deve ser deixado de lado, ele contribui também para o desenvolvimento do intelecto-social das crianças.",2
"	Um dos assuntos que mais se repercutem na mídia é, sem dúvida, sobre a corrupção no nosso país, segundo reportagem do jornal folha de São Paulo, o Brasil perde por ano, $6 bilhões com a corrupção, dinheiro esse que daria pra elevar em 23% o número de famílias beneficiadas pelo bolsa família, ou ainda reduzir pela metade o número de moradias sem saneamento básico.	 Enquanto o Brasil bate recordes de arrecadação tributária, vivemos um verdadeiro colapso na saúde, com hospitais superlotados, e falta de atendimento médico adequado a população, que chega a esperar meses por uma consulta ou exame, além da educação que caminha a passos lentos para sua melhoria deixando muito a desejar, e tantos outros setores, como, segurança pública, saneamento básico e etc. Enquanto bilhões são desviados por ano dos cofres públicos, muitos ainda vivem em situação de extrema pobreza no país, cerca de 16,2 milhões, 8,5% da população.	 A certeza da impunidade faz com que esse problema só aumente, pois a legislação brasileira é falha e impotente, e a política no nosso país é um verdadeiro círculo de interesses e influências, onde muitos governantes são beneficiados com esses esquemas fraudulentos e assim, não denunciam seus companheiros partidários, ou seja, quem acaba realmente punido é a população que sofre por falta de qualidade de vida.	O dinheiro que o Brasil arrecada com impostos, daria para suprir as necessidades do país se não fossem tantos esquemas de desvio de verbas públicas, pois vale ressaltar, [sem vírgula] que temos a maior taxa de juros do mundo, por isso a sociedade não pode ficar de braços atados diante da impunidade, e achar que isso já se tornou uma intrínseca na política do nosso país.	O Brasil precisa de maior transparência e fiscalização na tramitação do dinheiro público, a sociedade necessita e deve saber onde e quanto está investindo, afinal esse dinheiro vem do bolso de cada um dos cidadãos, é preciso também haver uma reforma na legislação do nosso país, que puna com rigor a corrupção, só assim o Brasil se transformará em um país desenvolvido e crescerá com igualdade e justiça para todos.",2
"Segurança está entre as principais propostas de melhora, citadas em campanha pelos candidatos. Então, qual seria a razão pelo qual nada de eficaz é feito quando o candidato,seja a Presidência,a Governo de Estado ou à Prefeitura,assume o poder?Bem, não precisa ser muito expert no assunto sobre segurança pública para ter algumas opiniões formadas a respeito. Basta ser cidadão e se manter informado.Quem consegue sustentar uma família com dignidade pagando aluguel, alimentação, saúde, vestuário, estudo e outras necessidades corriqueiras com um salário de 800 reais por mês?Sem citar o lazer, que é imprescindível para a saúde e o bem estar emocional de qualquer pessoa. Pois essa é a média salarial de um policial metropolitano,que varia de um estado para outro.Além de melhorar o salário, que ajudaria muito a evitar a corrupção dos policiais, deve-se investir mais em treinamento e acompanhamento psicológico.Assim teríamos, quem sabe, policiais seguros, respeitados e capazes de nos proteger. Trabalhar com dignidade é um fator primordial em qualquer área que a pessoa atue.Sabemos também que o que se arrecada de imposto no Brasil não é pouco, o que não justifica o descaso com a segurança no Brasil.Tenho certeza que tudo o que foi escrito até agora, os políticos já sabem. Assim não há razão para o descaso com a segurança, e sim o desrespeito com o eleitor.O que nos falta mesmo são bons políticos, comprometidos com seu trabalho e principalmente que nos leve a sério!",1
"Nos dias de hoje esse problema vem sendo bastante preocupante para todos aqueles que se usam de transportes para se loco-mover, devido as filas imensas de automovéis que se estendem por vários quilômetros. Isso acontece principalmente nas grandes cidades, que é onde a população precisa de veiculo para poder cumprir com os compromisso diários, com tudo isso a violência no trânsito se torna inevitável.Pessoas iguinorantes saem por ai com seus carros muitas vezes irregulares, e acabam causando acidentes graves. Mais não é só isso, a violência no trânsito também se dá quando motoristas cansados e extressados saem da sua rotina e se deparam com enormes congestionamento.Pesquisas feitas mostram que mais de 80% dos entrevistados dizem perder a paciência no trânsito. Assim, é evidente ficar complicado achar a solução adequada para esse problema, pois exercitar a paciência e o autocontrole não faz parte do currículo das autoescolas, mas são práticas cada vez mais necessárias à sobrevivência no trânsito.Pode até parecer uma coisa boba, mais não, acidentes cometidos no trânsito pode vim a deixar sequélas pro resto da vida, podendo vim a causa até a morte, póis ao contrário dos que muitos penssam, o carro não é um escuto protetor que o deixa protegido.Eu sou totalmete afavor de punição para todos aqueles que abuzam e acabam cometendo taís infrações, pois só assim, pagando por seus próprios erros iram conseguir perceber que não é com violência que as coisas se resolvem, e sim com paciência e educação.",4
"	As relações entre pessoas e informações hoje só existe[m] por causa da mídia. Tudo nesse contexto é comunicação, seja visual ou sonora. A demasiada interferência da mídia na vida social do indivíduo pode causar consequências relevantes oriundas de fissuras na mente em formação opinativa e de propagandas estimulantes políticas.	Assuntos variados abordados na mídia completam ou influenciam as lacunas do conhecimento, principalmente de jovens e crianças, fazendo- os a adquirir características não favoráveis para si ou para sociedade, tendo comportamento agressivo ou usando da apologia ao crime e drogas.	A mídia tem influência total também diante das decisões que a população deve ter nas eleições políticas, quando os candidatos fazem determinada persuasão para com o eleitor, levando assim o fator de escolha do futuro de uma nação, estado ou município.	Portanto, a mídia exerce várias funções dentre os quais a de má influencia sob aspectos importantes que interferem radicalmente no próprio indivíduo ou na população como um todo. A maneira mais sensata de se enfrentar a mídia para não intervenção nos comportamentos é absorver o que é favorável para cada um, orientando os que não tem essa percepção.",3
"                             	Um governo que investe 40 milhões de reais para construir muros para separar as favelas da mata atlântica, é um governo que não tem amor ao povo, pois este dinheiro é simplesmente jogado fora, pois a história descreve que muros são construídos para serem derrubados.O dinheiro jogado fora seria muito melhor reinvestido nos três fatores de serviços básicos de uma sociedade de um país, que são educação, saúde e segurança, investidos dentro da favela, iria melhorar muito a vida do povo abando pelo governo que mora-lá. Outro destino que poderia ser tomado este dinheiro, seria investir em projetos sociais que tiram as crianças das ruas, projetos de alfabetização para a população, projetos que conscientizam a população sobre a mata atlântica.O que é mais curioso neste projeto é que ninguém será privilegiado, nem os governantes, nem os moradores das favelas e dos bairros nobres e nem a mata atlântica. Com o passar do tempo o muro querendo ou não irá ser derrubado, e a mata atlântica continuará sendo devastada, os governantes que representam e defendem os burgueses que moram nos bairros nobres iram ser prejudicados pois as casas desvalorização com o avanço da favela, no final de tudo quem vai sair perdendo vai ser os moradores das favelas, e que estas mesmo só tendem a crescer, aumentando a violência, o tráfico, trabalho infantil, mão de obra direta e muito outros problemas sociais. O único objetivo deste projeto é defender os interesses dos ricos, nada mais. Porque ao invés de construir muros, não constroem casas, para os moradores das favelas, assim, todo acabaria saindo ganhando. Este projeto prova que os políticos só defendem os interesses dos ricos.",5
"	Em uma sociedade evoluída, informatizada e com o anseio de sempre se desenvolver, as conquistas são inúmeras – na saúde, economia, meios de comunicação, transporte, habitação – tudo graças à sede desenfreada do homem por desenvolvimento, sendo que essas ações trazem grandes consequências, principalmente ambientais.	O ser humano sempre procurou métodos eficazes para torna [tornar] a vida da sociedade mais fácil e cômoda, utilizando na maioria das vezes de recurso naturais – fundamentais para esse processo-. Mas, a utilização desenfreada desses recursos, acarretou a escassez e a destruição dos mesmos.	Atualmente [vírgula] comenta-se muito sobre sustentabilidade, desmatamento, poluição atmosférica, escassez da água, reciclagem; assuntos que preocupa [preocupam] muito a população, que busca achar formas para acabar ou pelo menos minimizar esses problemas.	Enquanto alguns lutam para salvar o planeta, há os que brigam, dizendo que para que ocorram melhoras nos aspectos Industriais, financeiros e profissionais, essas práticas são fundamentais, entre tanto [entretanto] [vírgula]fica a questão: Do desenvolvimento[vírgula] você precisa? E do meio ambiente?	Essas é uma faca de dois gumes, já que é difícil que isso ocorra sem que prejudique o meio ambiente, mas, existem formas menos prejudiciais, utilizando-se da própria natureza sem que à [a] prejudique; a utilização de energia solar e eólica, a troca de combustíveis de origem fóssil pelo etanol, o reflorestamento, a reciclagem, criar processos de reutilização da água, etc.	Por fim, mesmo que haja inúmeras formas sustentáveis, necessita também que a sociedade em questão tenha consciência e faça sua parte, saber utilizar o que lhe é disponível sem que prejudique o planeta é de estrema importância para que se haja desenvolvimento, pois não há evolução se o futuro for um fim próximo e devastador.",2
